First Name,Last Name,Title,Company,Industry,Keywords,Person Linkedin Url,Website,Twitter Url,City,State
Steve,Weber,"President & CEO PaperTrl, Inc",nChannel,information technology & services,"enterprise software,e-commerce,retail,data integration,software,consumer internet,information technology,internet,multichannel retail integration,order management,inventory sourcing,drop ship management,erp integration,pos integration,multichannel retail,ecommerce integration",http://www.linkedin.com/in/silverkitesteve,http://www.nchannel.com,http://twitter.com/@nChannelCloud,Columbus,Ohio
Ramesh,Haridas,Mentor,40Love.ai,sports,,http://www.linkedin.com/in/rharidas,http://www.40love.ai,https://twitter.com/40loveai,New York,New York
Andrew,Rabin,General Partner,,,,http://www.linkedin.com/in/andrew-rabin-0a340b1,,,Pittsburgh,Pennsylvania
Raphael,Danilo,CEO & Co-founder,Yobs,higher education,"medicine,business,law,dentistry,architecture,education,dance,pharmacy,engineering,occupational therapy,fine arts,social work,gerontology,arts sciences,communication journalism,public policy,letters,cinematic arts,dramatic arts,accounting",http://www.linkedin.com/in/raphael-danilo-481b41b2,http://www.usc.edu,https://twitter.com/USCedu,New York,New York
Luis,Salazar,Co-founder and CEO,GIVING TECH LABS,internet,"product strategy,execution,monetization,gtm for non profit & private sector,tech for social good,public interest technology",http://www.linkedin.com/in/luissalazar,http://www.giving.tech,https://twitter.com/SalazarLuisJ,Seattle,Washington
John,Richards,CEO / Founder,Startup Ignition,,,http://www.linkedin.com/in/johnrichards,http://www.johnrichards.me,,Provo,Utah
Chafic,Kazoun,Co-Founder & CEO,B-Line Medical,computer software,"health care,education",http://www.linkedin.com/in/chafic,http://www.blinemedical.com,https://twitter.com/blinemedical,New York,New York
Daniel,Isenberg,Professor of Entrepreneurship Practice,Babson College,,,http://www.linkedin.com/in/disenberg,http://www.isen.com,,Boston,Massachusetts
Maja,Vujinovic,CEO,OGroup,marketing & advertising,"brand development,brand identity,brand creative,advertising,marketing",http://www.linkedin.com/in/majavujinovic,http://www.ogroup.net,https://twitter.com/theogroup,New York,New York
Andy,Brown,Co-Founder and CEO,Sand Hill East,financial services,"mobile,saas,fin tech,early-stage technology,information technology,enterprise software,software,advisory,go to market,consulting,formal business plan & model creation,business acceleration,strategic introductions",http://www.linkedin.com/in/andybrown63,http://www.sandhilleast.net,http://twitter.com/@sandhilleast,New York,New York
James,Avery,Founder & CEO,Kevel,computer software,"enterprise software,advertising platforms,developer tools,developer apis,software,advertising,development platforms,consumer internet,information technology,internet,native ads,native ads api,native ad server,api cloud platform,ad platform,ad infrastructure,ad server api,api,sponsored listings",http://www.linkedin.com/in/averyj,http://www.kevel.co,http://twitter.com/adzerk,Raleigh,North Carolina
Mat,Sherman,Founder,matsherman.com,,,http://www.linkedin.com/in/matsherman,http://www.matsherman.com,,Tempe,Arizona
Mark,Kropf,"Technical Director, Office of the CTO, Google Cloud",Google,internet,"e-commerce,fashion,retail,social commerce,consumer internet,internet,information technology,search,ads,mobile,android,online video,apps,machine learning,virtual reality,cloud,hardware,artificial intelligence,youtube,software",http://www.linkedin.com/in/markkropf,http://www.google.com,http://twitter.com/Cat5BoatShoes.com,New York,New York
Seth,Weinstein,Managing Director,,,,http://www.linkedin.com/in/seth-weinstein-461940159,,,Weston,Connecticut
Russell,Farscht,,,,,http://www.linkedin.com/in/russell-farscht-703552134,,,New York,New York
Nancy,Lublin,,nancylublin.com,,,http://www.linkedin.com/in/nancylublin,http://www.nancylublin.com,,New York,New York
Patrick,Ennis,Venture Partner,,,,http://www.linkedin.com/in/patrickjennis,,,North Bend,Washington
Nasrin,Thierer,,,,,http://www.linkedin.com/pub/nasrin-thierer/0/65/186,,,Chicago,Illinois
Mark,Hochgesang,Angel Investor,,,,http://www.linkedin.com/in/markhochgesang,,,Portland,Oregon
Fedor,Saldivia,CEO & Founder,Neo Moon,computer software,"e-commerce,fashion,3d printing,jewelry,consumer internet,printing,internet,hardware,information technology",http://www.linkedin.com/in/fedorsaldivia,http://www.instagram.com,http://twitter.com/wonderluk,Miami,Florida
Chuck,Hammel,President,,,,http://www.linkedin.com/in/chuck-hammel-iv-6a836775,,,Pittsburgh,Pennsylvania
Bruce,Rauner,,,,,http://www.linkedin.com/in/brucerauner,,,Chicago,Illinois
George,Baker,"Founder, Chairman & Chief Executive Officer",ParkHub,,,http://www.linkedin.com/in/georgefbaker,,,Dallas,Texas
Dennis,Steele,Co-Founder,Podium,computer software,"small & medium businesses,local,reviews & recommendations,franchises,consumer internet,internet,information technology,online reviews,reputation management,review analytics,customer reviews,small business reviews,customer interactions,customer engagement,interaction management",http://www.linkedin.com/in/steeledennis,http://www.podium.com,https://twitter.com/PodiumHQ,Provo,Utah
Chris,Camillo,Investor/YouTuber (dumbmoney.tv),,,,http://www.linkedin.com/in/chris-camillo-08381,,,Dallas,Texas
Joel,Spolsky,Co-Founder & Chairman of the Board,Stack Overflow,,,http://www.linkedin.com/in/joelspolsky,http://www.joelonsoftware.com,,New York,New York
Christopher,Isaacs,Owner & CEO,Total Healthcare Solutions,,,http://www.linkedin.com/in/christopher-isaacs-33171111,,,Washington,District of Columbia
Joseph,Marchione,Co-Founder and Chief Marketing Officer,GigKloud,internet,"education,technology,financial services,finance,online professional network,jobs,people search,company search,address book,advertising,professional identity,group collaboration",http://www.linkedin.com/in/joseph-marchione,http://www.linkedin.com,https://twitter.com/LinkedIn,New York,New York
Francois,Nader,Member of the Board of Directors,New Jersey Chamber of Commerce,,,http://www.linkedin.com/in/francois-nader-md-mba-54ab951,,,New York,New York
Robert,Gaydos,Founder and CEO,Pendella,insurance,"instant issue underwriting,endtoend consumer purchasing technology for life insurance,disability insurance,critical illness insurance",http://www.linkedin.com/in/robertgaydos,http://www.pendella.com,,Fort Myers,Florida
Pau,Sabria,Co-Founder,Olapic by Social Native,internet,"e-commerce,saas,b2b,photo sharing,enterprise software,consumer internet,social media,software,internet,information technology,visual marketing,photo crowdsourcing,ecommerce,instagram,user generated content,conversions,email,earned content,martech,facebook advertising,visual commerce,facebook,social media advertising,advertising",http://www.linkedin.com/in/pausabria,http://www.olapic.com,http://twitter.com/olapic,New York,New York
