Name,Logo,Site,Funding Rounds,Location(s),Notes
IDG Ventures,fjxamor6vmrxit3gamyf.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/tiT5qPx3gor9H-ZoVkzJxg/KXSO_J-louNoa66aAo8TKatEnxU50x7hBpvZ9mwmeuhNbRXbfnFFq1t5N_7rSP6LNf6M4qWfsK4wVr8c5OM8CEM78d1GnOPKbZUJELFkYa5XPpTDmvi_GKyiLvVr1bnO/R7521YtfgKbWMP0sbSI07F_a1uQ-WsR5K_3mwfr2RcE),http://www.idgventures.com/,"IDG Ventures III,IDG Ventures III",SF Bay Area/Silicon Valley,
Ignition Partners,zhqom4fuyc0shgvotv1o.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/SyLzf1anVmxgqW3kQ-3kAA/NgfkuheHo-tWLpXFRdUnutJQMhRAlwWxmnkVtNrAkGiRbJFMzBcb-bY9dzB8Gs_-KIje6ktWO1HfJ6fXZ6BihsNkqvKHt3NoyWREBmq7AREtfoVG8mS64dEjpxJaVvIc/tfz4uMTIyibqVA_QfROw7IidDW9sE4KTbUts2ByAxng),http://www.ignitionpartners.com/,Ignition Partners VII,Seattle,
Illuminate,ilap5hkainq4ifevd82r.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/hiSrNKX-QWA_kJKL4-kMlA/GG6aIrrIEZInItC53NfAY8HhDoHSrb83lL9_EQr4xALEtXhpGNM30UCC1YWaOgSlFffW0x-aHW9xeSQWopBmetN7aS3xeBtUoh-FGXEwx_vC48EGO5OVd8470WuudXom/aKSVP79AFAkaGs8SBXA9p95JqLtHTTGzhyOKbFooaSM),http://www.illuminate.com/,"Illuminate II,Illuminate I",SF Bay Area/Silicon Valley,
Indie.vc,pniiawnbyqyqtfewhocf.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/6j63corkgA6YLOtthTQFfQ/tZx7LeGGjEVbnaB-K5PXOMpzbq6tbzWnfO7HNBYbWLU5K5zXtOtFT26pPKhOWKKEmcwfZxKlHIBrkVM9RWq0bk_dUob63qhyPaFnboqakxLPoZWl5AsmYaXK7K_riuCs/AlTZkJ1yyJTlAdERbt9cuqdUIWN99tkAOg-avJVHiKQ),http://www.indie.vc/,Indie.vc II,SF Bay Area/Silicon Valley,
Industry Ventures,74dca227c83f25b9ae7ad6b58a78128c.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/HpDrSwMYPQ0a6KUc9J5IlQ/u0MRezPBQmr8YH7khylrp_Qq-0SBZDRlvBsGoMS8By2sNHNUb9QvHgs_vdhKDFuB-Z4oIX1MtPOOzK7BTLTTqWK6tFtsOBoVcB34oiIIz831jYGK0iu6ORZIY4qvsQpT/rUEgTNsrT6HgTwfmLlbUAwOoAkS9XCZyUq5NssFWUho),http://www.industryventures.com/,Industry Ventures ,SF Bay Area/Silicon Valley,
Initialized Capital,8c03960061a68afb531387af0412ae5d.gif (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/jUanatF_NjVsrYSAzl5cSQ/e8I4yMWVXt63SaDGhqwOIlAtkxebaGFsLTxakYXUFAPbJuMXNoieB2G2OppVKBhRflDxyoJeCPqpbGym36lVkWSAfOowGIqKAfCaOgQjZOg5qKtW-m-SzkEuFYcBqxGO/DjEQODQahnBOSK-rofbxQn60S_uSiolVMbi8aeqDWiQ),http://www.initialized.co/,"Initialized Capital II,Initialized Capital I",SF Bay Area/Silicon Valley,
iNovia Capital,jbb4c3opd11a6kjjnnap.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/XQtNNFDYRp_L_7rr4OKeQg/eF1C-_dtDog0K8stZRgPMm-V362NQQcd0jWye1V-O3LW9Of-fSeZbqOq6GwMp-OgdWdtZQus1OUGmNL7Y7OAaNG4CppsoVUg0rpS5dOP1FQIGxKoeO53ClqHAXEibwsC/D_3EQ9cGR5OiyatG5HuQeWSgGGNOkXe_EE7U3Y_bc7o),http://www.inovia.vc/,"iNovia Capital III,iNovia Capital IV",Montréal,
Intel Capital Diversity Fund,1adc4cc32d1e1ba5ca2905312a2a80cd.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/1YlxLzsPKltmU8NyoWKFuQ/zUC02kwRem4W79DWo8UAA3yFQvpe04J7OLyreLXhKCX9KmZWR4m-gj5qpjiiG_QxhztfLRfDWcNhzsrniFfOkY55IIUiD7AEXypmrv_bDjY9vKrwng_6Jyvptrriws6C/57v1zP-FnCfehIQ6ia0sbfJOCKWNjFmbk5ktjwPoRGc),http://www.intelcapital.com/,Intel Capital Diversity Fund I,SF Bay Area/Silicon Valley,
Inventus Capital Partners,bmpybupg2qdq0cwsrx9b.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/KC3lq3eDKJTEtEuZM8C3xw/IijEU4jyXLP6pFY9L4skPt5dKIi6gX2YejFwB_ploq8uyaHPbtESQwLLagaUGhL6zsKCdMnexHYd-Fltu-RJoeNkos-vsCS8HaNzstzRpWlAkyujSq3JsChiWpQ2GzmP/KFPJxHIwoCuX9VOjk2hsF-WJcaFdtIZJY19u2zNq-7Y),http://inventuscap.com/,Inventus Capital Partners II,"Bangalore,SF Bay Area/Silicon Valley",
InverSur Capital,256137f4888107fdd19c22902f602264.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/Xvy7ohFfgogmh5BKm2zLwg/us48-8h2AgNBbO_W2bhQCctRcQu4I6hqNm30ppQqLUDcfa8q__1ykqNhrYdDvKo8sAluPWNS12znlDFPDntfPlFLiGwd2ei5UU4lX_YHx8bYHgv8aUVOyN-saKZrBZhs/jRvWMyWXCUYkT9wViXDiMupnRb7izTNWO34zT-T9UEA),http://www.inversurcapital.com/,InverSur Capital I,"""Santiago, Chile""",
Javelin Venture Partners,48d13ad55435fb3a8d64cff0c6560046.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/k2ZqBa6ePY62Sz3YYHNXoA/1sBYPDGkRuosAV_LXyi1Xmr3b_N7srIEJSwIX1h96mrYSge9gjnSJbBNqgXlzhkGSkSQHYbcSZhcNMFdX2TKpd2wybWu8hzYWxjKtc7JpT-LxUqFBASmzrNKhXSPBZfK/WFD8xYddTRnrbUTa4otEZgZD5aRglpHGf76Oh_jzH0M),http://javelinvp.com/,Javelin Venture Partners III,SF Bay Area/Silicon Valley,
K9 Ventures,646950dfbc82b048075fa623a57def19.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/gPQDuXv-zYU187pgxLCzvw/Eu_ctG9NL0xZkfF2G7dbfGPIi4eFVqzSMWLURYANJ_bpv9hByACc41O1sENT22JR5KURtqLC9iQBy5De0ySd_PemoB_Ap9MEU5LDosRmZUZk_zMWD-uGMqJnOfsbZVzD/P8Khbmbw6Fohwkv1gd_tAxEurqlGHvM9n9zTlD-Lc5U),http://www.k9ventures.com/,K9 Ventures II,SF Bay Area/Silicon Valley,
Karlani Capital,k2chv58vavf8bi2sei92.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/WSC_u2b-N7neFdvsNru4uQ/rik2XQ6vZDRDENbzYYW0Fnph1U62Dj4l3qoTtLnZ5-2CNcXipWe3fK5aWveH-r-XtXf99rHy16n7Kl-RW75atddFjO6skocJMQkVBf0ZkW0N-ncH0FYpMWqUP6n1qOPj/2q2hGJ_cxF8QYwBrILNXoTX2E4clueJWy8dP57dp9gw),http://karlani.com/,Karlani Capital I,"""New York, NY""",
KaszeK Ventures,bd617fcb83e213820398cc481c83ad72.gif (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/4rytgkw6qC9U3eZDglhEgQ/kFMqk6OUSiIK4Tv0U7z-o9ImDGA22nVvejrDVBGwr4G0tyg7p2ElKmi1bNwQKw3gdXr8JmhG5YAd_n07hxg1-teSj0LR4fYQZSQaeQKxXOAUQpW0o7RBqmGtMflFTDuc/reFHWOnW0erNv8K6taF08SPnAaFAppyghFPprXy8cnQ),http://www.kaszek.com/,KaszeK Ventures II,"Buenos Aires,São Paulo",
KEC Ventures,4abb0ca24b9df94b9d1ac87e63cfba8a.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/xfPQkDZeAPn6nsQ5Q25Yfg/dB46Et-2XSvJRRbxTBoDQGohkS5SO8FpgX4yUW35LU_rZ5s1Xj4gJNVBDKv7y6_QhYafOlqfJ9AIjV-ZLR97r8MYaTIuQw-SMBDoyrUCCuN4oSoy07fDlr5D7GIbXuwL/qX-pFgN3rIldtblT7VkTlLC-aK-lKcL9zA_cDKCywWE),http://kecventures.com/,KEC Ventures II,"""New York, NY""",
Kibo Ventures,da645016a54b70ce7f8c0b79fa414e78.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/yOgQiSz2stN7-dYCUwca6w/gDthdeSTT7SDgRZlX2VAd5KLZBPnRueXtblU6tob7bNgtGc32y-2occXns6FgcC3O6vj9S92ofAELqB7luxGCRk-AbPGDwjokOoCzqzAmQ2uHzTgnx35SBkvcMIuqrfb/96YMKVGzhqIyYwBapuUMWdyjlv95A5ysH7VfFY8sUwg),http://www.kiboventures.com/,Kibo Ventures I,Madrid,
Kickstart Seed Fund,e97126e4838bd992062880649eb235df.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/raXMmEaxEj3NDmen4wP4Ow/RtYEFKmZM0l3XsfXt-ig3fbaXmdAszzbPOAFn6DWn3BLjmlIKjt-R3T3aoCdvvXmEvSscfPEvUeuBHF9_M-9MnVjDbAUEJFzpksQ_NG9YNH116btJMquTHDYxoz0IjI9/mHAjwnKhWzhBS8MbqbM4stD8nYRLjZsZOG15h2GHSQI),http://kickstartfund.com/,"Kickstart Seed Fund II,Kickstart Seed Fund III","""Salt Lake City, UT""",
Learn Capital,49d31b1b0d417012426260773e44c5e5.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/xqe3SaQQ7pnkwuohYSZhZQ/96iGhKvBCQGHyzOIVCOtEkSixnUiWrsXtCRhoRnKXO9MBprOpi06UsVpqsUgI_ZgmiwUrWNNjpavF8Tk4Ls6jPISVG00mjT72d3LZEA1yihAdm9nGCtzKuzSEDGjLiOV/T62YdVe-dflPbXbU75E-eQ7gcn0Tv3xs5Thp_ye9Qw8),http://www.learncapital.com/,Learn Capital I,SF Bay Area/Silicon Valley,
Lemnos Labs,60cac8a2ff6e6abfbd94a6aa68ae7e5b.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/JF5JVTKtiI9_HBo-ym8WVQ/0uxCko8CZINlpeex6CiNBtdBb8azTaFm-Q9Gk1RZ1dQqE7lxVbK_ii_lgTIP9YBBDlqyOqACksc4e0MTupDYT3FBE_THzmyKUuTveqWgRvn5jpszWkqJyWquM_sGYa_E/OeCkgZxgSdQYzkAjc6ZB5RqyHDjbJk5Pq-qVReXmAOo),http://lemnoslabs.com/,Lemnos Labs I,SF Bay Area/Silicon Valley,
Lerer Hippeau Ventures,yrkkz00ld3njtvocf6fq.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/-DA08H1ck2FW8TjbqPbcLA/PKytrUfK-xGGH6QakoknAlFbmluE0S0SreQsOo29HCPxak9cS7BUN-w2lF2Lei0b5tHI3WVWmMaKXRcruV3tpcIbBjGBk0j6EoaPY_k20fMkLLnoU3JmbfgbG6LRcbWi/YVDQm6tg8C60gGZcCJTeCWSUWu4l_275UuwUaJozxPs),http://www.lererhippeau.com/,"Lerer Hippeau Ventures V,Lerer Hippeau Ventures IV,Lerer Hippeau Ventures III","""New York, NY""",
Lightstone Ventures,30c24637505b9b68ae412cbd66c1afe1.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/xfMPBUfXavg5Q0nP4uoNBg/vZSQkKHfWST2m6zTDsExCiWtLj-BszXcvqeU75wOcvEo2ED5sRcx5aKCLYnBi3XHWxWjPp4yC7g1xHKDH9M7zvGtfZ_9c5CTd1KOIbibLIvCzazqFtd7V3KDMUrWnz4R/_nGde0nFRVZJA29DjpmiYPMITcrpLXII7CvuxLEBGmk),http://lightstonevc.com/,Lightstone Ventures I,SF Bay Area/Silicon Valley,
Line (JV with Collaborative Fund),93db4f1192e705e85828dfb305ab1b8d.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/iME2Z7vxwHzUC8k0afG72A/FHUk6tQm5TtbZvRplHbjxTYEjf4KBvptR2ydMQmHpKBhhQzPIg24N4bz34JfbXIEzHsBsmdMfYHBjhUwU_2d8V5UTf09y4ugcCLqtmliNiWOt3uW2_el_Unc-HfulChn/miDcByhxfInDklNkjo9G0X_Ht1faoeagbxNIGkaRErE),http://www.collaborativefund.com/,Line (JV with Collaborative Fund) I,"""New York, NY""",
LionBird,v82flvkeusvudsa2ajzx.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/B02F1damj1VJ-uyjy2rgmg/iJXQWGM5rulyxvcigPA-9dtbbnI8-xGbNZ0A5dbR7SYDbug9D5kYP8dgbzFH-BYapb8acpsSAy2W6wT0Q7sB1sQVqpIlDn3kuWo85l-C8HLIMTUfKkr7fcBWqb_48xTz/mvYpWvyKTU9FPt-QPR13m0-IQHxONqCdwGgrXVfrsy0),http://lionbird.com/,LionBird I,Tel Aviv Metro Area,
Liquid 2 Ventures,707711-0d251ac9ac046fcaf6e12419d851c6e0-thumb_jpg.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/11aQBrQN-dSSotIZLJEdSA/0eSGh9pMd8ENknl0Vnq0GKF4CTK3e5XurD0U7urR8TfajlRs31rE5fCnEc43tCFh1XKFBPRoyRAlfMLsC4Ir-CHR1OuxvwUUiX5ObC48Ba5Wc9CnuDsQOnHper9C6yXcRGgU-tIfvJFVbtwfZo4TDA/FpibBXmcJpx-vu2ehK9nqhjnSw5ne38E3Qd45otXKo4),http://liquid2.vc/,Liquid 2 Ventures II,SF Bay Area/Silicon Valley,
LiveOak Ventures Partners,9d301242916cd33be3e4e0b74d4c4efe.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/NzWufD4zwPBA96LM4lPs2A/tzw2t_mEohqr4AnUL4boPIrXQaOABGyLW95PRyVZoIGFYRge3vz1O3WrlEiJ0tnpnuvAYMW_4BAN_Jj3fiwGYz8rAUQfslj2vZWslSn4EcMmxdp3f33u1snBn8DhJ6aF/yiMR2UkKazyhQb-ytlC6HrbTuJlKKSFj2kHunWQB9Bw),http://liveoakvp.com/,LiveOak Ventures Partners I,Austin,
Long Ventures Partners,,,Long Ventures Partners I,SF Bay Area/Silicon Valley,
Lowercase,o5sp9vj2ftnyj55m2ofx.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/omNTIDiq84ac20_GC5iTzw/HKn2KAW-xByipD4-GU-Of2efTmYCKwCoapXBg6dwo08iW29mhrH4fE4GOlw2ZDktwFGZbaSACQ0ekDB-mJl1O2WRWkWyznNubwMUVq1dkqIV9Y-inTTvYA5bqmnmEB1O/gqXunpssHlSY2o2demtTLQJFlyU1TEIHP1zywVMEb9U),http://lowercasecapital.com/,Lowercase III,Los Angeles,
Ludlow Ventures,htxfx3gafwntsn6mbsqb.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/bEah0gyHmdbH_lflpRt2kg/pJ7CoH2hq417M5eFE2cZzQdKARyP4yQX4SA-SdKnTcjVJadTellfKfZrgMhrXTIkGbh0BydvW0kIRpnFuvkgOs71EyxmnxAfQFX6Z981kBLtgNZUxVucanTrAXMXLhzV/-CIh63RASH5JMCXBx1SEw-xczx6l-VPFfatddJDJcHY),http://www.ludlowventures.com/,"Ludlow Ventures I,Ludlow Ventures I",Detroit,
Magma Venture Partners,2bf3f9b3b1091f6797b69533d0cac108.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/rrLyuRyNAuKE1pKNbIZBqw/pvB1bzsWVQvSZBkeYMVCXPKNKaEaDPTusMg0KGZNjkQ95OEJ6Ru76e-vopR9kV8ltnwJ5Od2GiI_L155zLIPeQola1l6nf1Jz-aR6HWraaxmh_QcjVi2SEeU4RqwUnSA/X_w0QsZzjAy5KENEGbWyZIQ2bXli0KHSYe7q1StbVzI),http://www.magmavc.com/,Magma Venture Partners IV,Tel Aviv Metro Area,
Maiden Lane,qekbnor9skdxb6hamta4.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/cShEAqbqMc1HXda4jYNbkQ/30qp8yVNEIA75Li1Qd9khS6xTw3HlEc3v27ludyiW2lVizhpgW092QHGTpaSyl2-44yhOvAgFWx7AKWsBcF7dI8PIXBxgiUeQoTfieGd0LugxfzCWOGV9y_y9udH4NxH/NgXo6NkJIG8WxyAmN2RvZr34nczE6bb2uySeKL55oZ0),http://maidenlane.com/,Maiden Lane I,SF Bay Area/Silicon Valley,
MentorTech Ventures,d7bncikxsufassvulqnc.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/jaP6eTbZ244oD1LAencCsQ/QeeHeb8Qamiv-ucuduezopaQxGBslULb476PX25FfvRWh1Qds6AsH8hQxtM34lO_v4U2Rv_FFmFygf8iCG5z1VmifZVSxLmGi8EPZxihVhYGZZhYoa1nDgqCpvBYrQJR/6wQ0Ai1mIgYgszL4lv6oWXqKqnQWT7PATOW1aZHyHVk),http://www.mentortechventures.com/,MentorTech Ventures III,Philadelphia,
Mercato Partners,14c45fa7e7042d73669feb6cb6a34c78.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/k0t1fpiwP9Lhn5U2SOtu-w/JDFiSBHSJt3hAVMd4vUvHBAPhD8HgER2l7XmmEMaHvfBG9MJAaE5-vXBy3BrL_i3Nl_rLJ-MVDyWBYkvEprya-NtLRt1BwqsQLO2ljkk9Qyk0y56oG6qvbVmYJ3Bmohp/5gRfywB5QGRbQRzOTO8AY4BSN4NCvIAigvcBXRuXKbE),http://www.mercatopartners.com/,Mercato Partners II,"""Salt Lake City, UT""",
Merus Capital,k1vkvayhrvyb9sj4g67m.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/3zlwSy93PlNxDEMIcM1MNA/QY83Qsn5BqR8eppf1SRq_an3VY5fw8wgkrOJL53gTGURRR2iBEkeGmHReUeK4ujlLYnuCXAdtZAY9y_JBuFvZvN8l1SOu_5nWHikEJ5iJE-Bwi9veva0hzrt3MXUCtaX/dHHo-ZzT_x72-lPuIP6BjvdNOlMC8tvVTJVPRdklBOc),http://www.meruscap.com/,"Merus Capital II,Merus Capital II",SF Bay Area/Silicon Valley,
MESA+,ko8froscpgzwrhcycumr.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/MV0pXMrVFA2c_nS5jterfg/_-dc8-NYXivDtXr4-1FBhSaumQ3pCSN8zl0xKg0nDMwNIJUBCOPuWwkLA3p6nTaG0ncoafYvdHZ2t1ze5uN-cn3TVv4S8SaIoMEPJkcxMtGjJPGmGPf9ipBvXoYVpb-t/XnP2HwWMcGv4TlLCKCNcYcorDYyASAYPMZxUAppfNWo),http://www.mesa.vc/,MESA+ I,"""New York, NY""",
Metamorphic Ventures,,,Metamorphic Ventures II,SF Bay Area/Silicon Valley,See: Compound
MHS Capital,73921d89300aa788bdd79b1348fed802.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/kGAqRGTujOYGkhHOTWSiqw/Rjeh1LD4JHgFLCJX38daNNktUrj-CoP_b5r-8_rggLJxNrQ8VQyxNcU5lkdTrkKgomCWJPmFvJlgeQNuepmMQudLgj5GDFfikhGHCh05xNdkNw9jy0_4lAi_Dn_VqYCL/jjlKtdJ-p_bhMWNgTpRMxfJZd0oNNbnXFnb4ywuf8JM),http://www.mhscapital.com/,MHS Capital II,SF Bay Area/Silicon Valley,
MissionOG,vdrgjcsoziwnrjdl9nyy.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/f01CUYEGC44EnlZGFohYgw/FToVBDeJjmdAlLkGjjd52qWsitKUvwhCFfLyCee1x6KWviRR4_jpCzUrGty3Xfvfo6OEAASOKQKeZdorrSS8wHmkSKGpqUo5n9CpsoXeoj5LvHFIfyuOOD0a7hHjjwN1/ZdotpRZemUmPE1jmhX9PUpfLiRpNdq2YwjQNwACZ0G0),http://www.missionog.com/,MissionOG I,Philadelphia,
Moneta Ventures,wonohuupyif1jsyjkowr.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/q2_FSIVAXzOlBgEwlDq-aQ/QCZAPUFzQ5tq4k_Fh20gFw9cjVOdJVvNKiE5I7rIdPC2xktCYPetxcDLKirGkhOVs0gQyXj0s5hK23iU6srr8ScbKypUUilMUSzTWp3cT9BBxLJA8HSp7sU5iKn2LMHw/psFNqE_MaWC5OQ7Tx5ziE4ld1oc7waTHioRSc2Cxor0),http://www.monetaventures.com/,"Moneta Ventures II,Moneta Ventures I","""Sacramento, CA""",
Mosaic Ventures,ghwfuxu8zrotqrlkuk3f.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/tjmRmp_JybBBNH5CdCznfQ/TFUHerj5XvDMNXo7mIZFMy3uS4-aiqHbbmUkdTCSA7d74V3zZ4dkpmAvR8VtWcMswVkFeAaiXycX9Xf_lpwA2UYbsgEjOPKF7UrxIXKaF4pHY0iJg2zPUi2lAOiFgdvv/nTazAwhumVx4Ej60x4k6KzPhWKvCgSSNOLQYoQjSG9w),http://www.mosaicventures.com/,Mosaic Ventures I,London,
Mucker Capital,pkfzm1c7kyfkrpi4xhuc.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/N8fVCShfcHGPPqd1Y8Nx3Q/fteiyg9DBDoS7NZcRPpIGk_TbfXMqEnYb7HxsR0xwKylkhw5a7oAdOfaxhuLn-1KAe3f7Zv9j9ig2LXwS57pjifss3N7ufZ1n4Mra_-4HdTmblLb_gxbQF461ODUXNMD/tPvh2gKNyh7A1LKtlF2IkX0LVehzVbEtL2Q8ubg-DiM),http://www.muckercapital.com/,Mucker Capital III,Los Angeles,
MuckerLab,qxvkrl6xsngj9amcvg5j.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/r_t0oQigqEEqPaLJQh7Cyw/9Dsb0MX4AySBgPPMf3CPmMkvV01Rg_wG5QU7_iotEMZN8nsJ8ekIKvglLzVQ_YhgLS00-iUi-DjhNwY4lHAwXQkE5kmiw-cNemT-VDj1qtSXTKIX9VIPOuAV-_2SmcbJ/bnRFPgZXi4HoP-Tk0KNOp3UJJ-L0pE4AHyQAk-hQw5U),http://www.muckercapital.com/muckerlab/about/,MuckerLab I,Los Angeles,
NextView Ventures,hmwrhbyjp7gsxuwirwno.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/tCLcLGzAl62pmB4NVaAlaw/cuMkf3sYVuYo5-namf9CDLQufDh26100IrLOTjRcaL1k-gPOgYp_YyLm8HD7Y1v9aoEweQb2DLME0U1c0nqzjRYhuXvKaE9p528j7brc-5zr5jnv8DfoHKbEh-eKwikI/-cwu9qnoVlzpC4LWLQmciILcoZ9HNZ6DrMG6kNfFP6I),http://www.nextviewventures.com/,"NextView Ventures II,NextView Ventures I","Boston/Cambridge,""New York, NY""",
Noro-Moseley Partners,50cd8e98ace94d8815fc8f7094dd204d.gif (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/RViybJBCPdR4RUl9sUwy5A/VxOPlYOC-KWDnJwqtcMIu_yi4xB5_DSrCgY6DqNo5t5Z4EX-VhCNZf2G6nFtO7j15gehN8MV_5_JnYCFwoOGsjmrBnNMIdRqx-BmRDnwN8FvUgx3f53Ar96lr0wFdAmM/wkruW-ma-uaug8qnhyhSmpIMugHnAvgj4hiE80nHd-g),http://www.noromoseley.com/,Noro-Moseley Partners VII,Atlanta,
Notation Capital,cy68j5qcibhroqkobjdy.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/OBtfGgexJ6qCc9j_QVux6w/wtB-djyCKYthtr2KdN2smVF9G85fHfhbvgwttL6cvwcu9-ubP31ICvVW7G16S9hilAFgOy-7EnDBlqk7JmbSZJ5M2Vk8tntoimrVeoB1bsFgJ1HRDSrwHDYnFKM5tf6e/dI-KxVW0f0Uui0V3fakOV2FDqXXkm-N-yZXt3_lR2Cc),http://notationcapital.com/,Notation Capital I,"""New York, NY""",
Nova Founders Capital,xyv2qhk47uu864d6gomz.bmp (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/1FpT1ze5MVVOQgvZ4KgkYQ/B_zwyWNbnhgYGip-Ln2e5t9DAA-6alBwcUlF7jYb1-TGd3pR_PfB-cSi6ms6UObf9xcBgYPEisyMUCz78WICp-HP7Mhu8fWDZxo6InauPHG6OTMBuQnYgMg1LMaQX_3H/6EQtuCjappTc9Qw1GnqxV2fKaFLLu77DXREwezs-IY4),http://www.novafounders.com/,Nova Founders Capital I,Hong Kong,
Naya Ventures,9f96f49e35ac706871c1557a1d7d725b.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/dcSH55wsDTqdEg4I8tx7nA/2T3nZ7K6Ix3RiKGYZptOvF1j2fhAhLwAI-qs3kjwyRHLaFbomb-JUR4nMbBQPP9ecPQV0xGMW_CfmYCuzGCB4d-k8RCE0DslPcLyS23M40YXN7MloWQ1yZM4szZ9LtiR/ggnKPyt839kvZCvBww_ViVW9wQ2B7hLowZaf0HEvYEY),http://www.nayaventures.com/,Naya Ventures I,"Seattle,Dallas,Hyderabad",
O'Reilly AlphaTech Ventures (OATV),vjrribzwu9avhsv7w1xd.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/F3qrGK-_AyCqIDnZ_vy6YQ/aX-rQ2D4jjY6FiCg7RQiOXbaTDUmzFEuZYktmUBla3FjzKuROJBMIcKm3J3WXTqcj97paw1g3g7E3sng1-_9L24_8YUQInNUNeGtXQkx6FIT9k1iiytQpaKWKz4v1CO1/q5StwTJuDWZqK4d7qHkjhchEWD-fSzhiLFi0UpzW4JU),http://www.oatv.com/,O'Reilly AlphaTech Ventures (OATV) III,SF Bay Area/Silicon Valley,
Obvious Ventures,qpbhuntylidoa9lzmrd2.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/0rl6Ea_bdXalvX4dFbOzyw/hWl9azvO8ZLFMYNJIl1PxBVEWoG56NcpHSHGG1T4RAIBOgg_3O9dBAh4JrWwEuaaM-vzZQd1VRVg2Mi7Emt8INMKb4b0DBx_H76SHCx6baAHhzD3pGY-uCKCkaE3Pf_k/bUZJ3dO18immHuxO4UOerxNI9yJe65dqBHciY6TS8ys),http://www.obvious.com/,Obvious Ventures I,SF Bay Area/Silicon Valley,
Okapi Ventures,e8877bd3ac8c99a0bbb6a684ee0175fe.jpg (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/yVMlFsxTUDw4Ih47y7TKdw/Yp9bZJifZTpK-bA89dqa5zwCQDQ9OT7greOyNuLVZ7zRt2hZn_TKxr6LV-_2pAYfJVULS9zkMBZL6BWX4NdvlGWyNvPJoig7ZgLxrXOe3AAj-dDvgleHZFXG92YHlAxl/dW1zzOqYi_XCUThw-EAeRO-lGfJzL9OSzqNp-BlhgsQ),http://www.okapivc.com/,Okapi Ventures II,Los Angeles,
OpenOcean,tdfqb45xc7fdgcvcloay.png (https://v5.airtableusercontent.com/v3/u/41/41/1748311200000/bGeE0RihrDIpgE-NZ40dHA/BBlGU5rAdj2COpCzJbAL6iON92FnAxa5VOID7H9O4CYjjIoowTROhtkkmodtVwhgfzABb2IY4E5O0GJrAaUBDwOI0-HTpmBKIrvJnoP4PHOT4cAm_Y7Q4I2kSp65bTKE/3cQrdh1gUdHbAXVmVB_e5sQ6fypOY5bubXlxNt1GJR4),http://www.openocean.vc/,OpenOcean I,Helsinki,
